epoch,loss,val_loss,head_a_loss,head_a_acc,val_head_a_loss,val_head_a_acc,head_b_loss,head_b_acc,val_head_b_loss,val_head_b_acc,head_c_loss,head_c_mae,head_c_mse,val_head_c_loss,val_head_c_mae,val_head_c_mse,learning_rate
1,7.5313239097595215,7.519858360290527,2.30414080619812,0.10333333164453506,2.296218156814575,0.10333333164453506,3.468026876449585,0.02666666731238365,3.466254472732544,0.029999999329447746,0.08347558975219727,0.24945220351219177,0.0835181474685669,0.07950364053249359,0.24090439081192017,0.07994024455547333,0.0010000000474974513
2,7.522390365600586,7.511388301849365,2.2997024059295654,0.09541666507720947,2.2862648963928223,0.10333333164453506,3.4650838375091553,0.03791666775941849,3.4681968688964844,0.029999999329447746,0.08236203342676163,0.24775464832782745,0.0824279710650444,0.07708767056465149,0.23687539994716644,0.07754719257354736,0.0010000000474974513
3,7.507070541381836,7.507106781005859,2.2865700721740723,0.1133333370089531,2.2849459648132324,0.15666666626930237,3.465317487716675,0.036249998956918716,3.4672513008117676,0.029999999329447746,0.07542052119970322,0.23513783514499664,0.07547368854284286,0.07242143899202347,0.2295641303062439,0.07297182828187943,0.0010000000474974513
4,7.4940505027771,7.4903035163879395,2.2810933589935303,0.12583333253860474,2.268198013305664,0.15000000596046448,3.460861921310425,0.03541666641831398,3.467836856842041,0.036666665226221085,0.0728062242269516,0.2301226109266281,0.07286891341209412,0.06832582503557205,0.22200846672058105,0.06894560158252716,0.0010000000474974513
5,7.469387054443359,7.458313941955566,2.265953779220581,0.12958332896232605,2.2299447059631348,0.14166666567325592,3.4561421871185303,0.04208333417773247,3.47062349319458,0.046666666865348816,0.06916946917772293,0.2237217277288437,0.06927864998579025,0.0647699385881424,0.21489331126213074,0.06547240912914276,0.0010000000474974513
6,7.444607734680176,7.4346466064453125,2.24863338470459,0.13500000536441803,2.2111213207244873,0.14666666090488434,3.4528050422668457,0.04458333179354668,3.4679253101348877,0.04500000178813934,0.06502825021743774,0.21456436812877655,0.06513155251741409,0.06280846893787384,0.21102218329906464,0.06357011944055557,0.0010000000474974513
7,7.422905445098877,7.4258270263671875,2.2356345653533936,0.14166666567325592,2.2031424045562744,0.15833333134651184,3.4463469982147217,0.04125000163912773,3.4664089679718018,0.036666665226221085,0.06475065648555756,0.21314221620559692,0.06485404819250107,0.06328688561916351,0.21145197749137878,0.06404726952314377,0.0010000000474974513
8,7.416327953338623,7.425668716430664,2.2348062992095947,0.16208332777023315,2.1971547603607178,0.1550000011920929,3.4425342082977295,0.046666666865348816,3.4685540199279785,0.036666665226221085,0.06492318958044052,0.21267656981945038,0.06501790881156921,0.06469942629337311,0.21320080757141113,0.06540804356336594,0.0010000000474974513
9,7.403243064880371,7.386572360992432,2.224454879760742,0.17291666567325592,2.1836678981781006,0.15333333611488342,3.4411983489990234,0.04541666805744171,3.4533908367156982,0.03500000014901161,0.06522902101278305,0.21437372267246246,0.06546547263860703,0.064247265458107,0.21239300072193146,0.06501893699169159,0.0010000000474974513
10,7.3942718505859375,7.320279121398926,2.2260937690734863,0.17083333432674408,2.1825931072235107,0.18833333253860474,3.4324734210968018,0.04958333447575569,3.410560131072998,0.0416666679084301,0.06768561899662018,0.21788115799427032,0.06779677420854568,0.06440526992082596,0.21321707963943481,0.0651068240404129,0.0010000000474974513
